originAirport,destinationAirport,minPrice
CWB,BCN,780
CWB,BUE,291
CWB,EZE,301
CWB,LAX,681
CWB,LIS,807
CWB,MAD,736
CWB,MIA,565
CWB,NYC,568
CWB,OPO,869
LIS,ARN,138
LIS,ATH,136
LIS,BOS,340
LIS,CWB,843
LIS,GIG,658
LIS,GRU,574
LIS,JFK,411
LIS,KEF,180
LIS,LON,47
LIS,MIL,54
LIS,NAP,123
LIS,PAR,49
LIS,PMO,133
LIS,PRG,118
LIS,ROM,61
LIS,SVQ,30
LIS,VLC,41
MAD,BOS,372
MAD,CWB,781
MAD,NYC,330
MAD,SAO,588
MIL,CAG,53
MIL,CFU,61
MIL,CTA,33
MIL,DUS,42
MIL,HER,96
MIL,LAX,455
MIL,NYC,334
MIL,OSL,82
MIL,PMO,36
MIL,PRG,47
MIL,TGD,102
MIL,TIA,49
MIL,VIE,42
MIL,ZAD,43
MIL,ZAG,47
MIL,ZTH,161
OPO,AGP,41
OPO,BCN,36
OPO,BIO,47
OPO,BLQ,106
OPO,BOD,43
OPO,BRU,67
OPO,CWB,957
OPO,FNC,39
OPO,GIG,730
OPO,GRU,549
OPO,KEF,156
OPO,LON,58
OPO,LPA,54
OPO,MAD,29
OPO,MIL,40
OPO,MRS,57
OPO,NAP,101
OPO,PAR,46
OPO,PDL,55
OPO,PMO,115
OPO,PRG,123
OPO,ROM,76
OPO,TLS,30
OPO,VLC,40
PTO,CWB,147
SAO,LAX,507
SAO,LIS,534
SAO,NYC,507
SAO,OPO,659
