originAirport,destinationAirport,minPrice
CWB,BCN,776
CWB,BUE,312
CWB,EZE,375
CWB,LAX,666
CWB,LIS,848
CWB,MAD,765
CWB,MIA,560
CWB,NYC,602
CWB,OPO,841
LIS,ARN,136
LIS,ATH,148
LIS,BOS,405
LIS,CWB,781
LIS,GIG,757
LIS,GRU,645
LIS,JFK,339
LIS,KEF,152
LIS,LON,49
LIS,MIL,53
LIS,NAP,108
LIS,PAR,53
LIS,PMO,102
LIS,PRG,127
LIS,ROM,94
LIS,SVQ,31
LIS,VLC,44
MAD,BOS,399
MAD,CWB,790
MAD,NYC,336
MAD,SAO,591
MIL,CAG,51
MIL,CFU,58
MIL,CTA,40
MIL,DUS,39
MIL,HER,82
MIL,LAX,489
MIL,NYC,341
MIL,OSL,88
MIL,PMO,45
MIL,PRG,41
MIL,TGD,88
MIL,TIA,44
MIL,VIE,40
MIL,ZAD,27
MIL,ZAG,44
MIL,ZTH,147
OPO,AGP,37
OPO,BCN,50
OPO,BIO,48
OPO,BLQ,110
OPO,BOD,33
OPO,BRU,72
OPO,CWB,949
OPO,FNC,47
OPO,GIG,857
OPO,GRU,730
OPO,KEF,231
OPO,LON,50
OPO,LPA,58
OPO,MAD,23
OPO,MIL,52
OPO,MRS,44
OPO,NAP,104
OPO,PAR,45
OPO,PDL,65
OPO,PMO,160
OPO,PRG,140
OPO,ROM,76
OPO,TLS,24
OPO,VLC,47
PTO,CWB,161
SAO,LAX,567
SAO,LIS,621
SAO,NYC,506
SAO,OPO,513
