originAirport,destinationAirport,minPrice
CWB,BCN,757
CWB,BUE,260
CWB,EZE,302
CWB,LAX,704
CWB,LIS,739
CWB,MAD,744
CWB,MIA,597
CWB,NYC,627
CWB,OPO,971
LIS,ARN,142
LIS,ATH,144
LIS,BOS,427
LIS,CWB,881
LIS,GIG,632
LIS,GRU,585
LIS,JFK,409
LIS,KEF,215
LIS,LON,54
LIS,MIL,53
LIS,NAP,108
LIS,PAR,48
LIS,PMO,137
LIS,PRG,137
LIS,ROM,76
LIS,SVQ,42
LIS,VLC,30
MAD,BOS,421
MAD,CWB,799
MAD,NYC,371
MAD,SAO,637
MIL,CAG,54
MIL,CFU,74
MIL,CTA,38
MIL,DUS,48
MIL,HER,101
MIL,LAX,437
MIL,NYC,312
MIL,OSL,73
MIL,PMO,39
MIL,PRG,51
MIL,TGD,90
MIL,TIA,48
MIL,VIE,44
MIL,ZAD,34
MIL,ZAG,39
MIL,ZTH,155
OPO,AGP,47
OPO,BCN,28
OPO,BIO,49
OPO,BLQ,104
OPO,BOD,32
OPO,BRU,76
OPO,CWB,956
OPO,FNC,35
OPO,GIG,703
OPO,GRU,735
OPO,KEF,167
OPO,LON,63
OPO,LPA,80
OPO,MAD,31
OPO,MIL,37
OPO,MRS,52
OPO,NAP,83
OPO,PAR,53
OPO,PDL,73
OPO,PMO,119
OPO,PRG,86
OPO,ROM,75
OPO,TLS,44
OPO,VLC,44
PTO,CWB,183
SAO,LAX,589
SAO,LIS,544
SAO,NYC,557
SAO,OPO,653
