originAirport,destinationAirport,minPrice
CWB,BCN,768
CWB,BUE,338
CWB,EZE,305
CWB,LAX,693
CWB,LIS,852
CWB,MAD,775
CWB,MIA,558
CWB,NYC,586
CWB,OPO,846
LIS,ARN,127
LIS,ATH,134
LIS,BOS,403
LIS,CWB,798
LIS,GIG,598
LIS,GRU,616
LIS,JFK,394
LIS,KEF,180
LIS,LON,58
LIS,MIL,53
LIS,NAP,114
LIS,PAR,48
LIS,PMO,120
LIS,PRG,144
LIS,ROM,77
LIS,SVQ,29
LIS,VLC,41
MAD,BOS,360
MAD,CWB,837
MAD,NYC,318
MAD,SAO,620
MIL,CAG,41
MIL,CFU,60
MIL,CTA,35
MIL,DUS,45
MIL,HER,94
MIL,LAX,469
MIL,NYC,330
MIL,OSL,91
MIL,PMO,41
MIL,PRG,47
MIL,TGD,94
MIL,TIA,49
MIL,VIE,43
MIL,ZAD,37
MIL,ZAG,39
MIL,ZTH,147
OPO,AGP,42
OPO,BCN,33
OPO,BIO,42
OPO,BLQ,100
OPO,BOD,42
OPO,BRU,60
OPO,CWB,869
OPO,FNC,38
OPO,GIG,522
OPO,GRU,645
OPO,KEF,164
OPO,LON,64
OPO,LPA,76
OPO,MAD,26
OPO,MIL,53
OPO,MRS,57
OPO,NAP,106
OPO,PAR,46
OPO,PDL,58
OPO,PMO,128
OPO,PRG,136
OPO,ROM,82
OPO,TLS,43
OPO,VLC,43
PTO,CWB,148
SAO,LAX,460
SAO,LIS,567
SAO,NYC,521
SAO,OPO,656
