originAirport,destinationAirport,minPrice
CWB,BCN,757
CWB,BUE,260
CWB,EZE,302
CWB,LAX,706
CWB,LIS,675
CWB,MAD,744
CWB,MIA,597
CWB,NYC,628
CWB,OPO,970
LIS,ARN,133
LIS,ATH,146
LIS,BOS,479
LIS,CWB,880
LIS,GIG,579
LIS,GRU,639
LIS,JFK,410
LIS,KEF,223
LIS,LON,47
LIS,MIL,53
LIS,NAP,123
LIS,PAR,48
LIS,PMO,136
LIS,PRG,112
LIS,ROM,77
LIS,SVQ,30
LIS,VLC,30
MAD,BOS,421
MAD,CWB,795
MAD,NYC,354
MAD,SAO,637
MIL,CAG,55
MIL,CFU,74
MIL,CTA,39
MIL,DUS,48
MIL,HER,101
MIL,LAX,437
MIL,NYC,310
MIL,OSL,74
MIL,PMO,39
MIL,PRG,51
MIL,TGD,90
MIL,TIA,50
MIL,VIE,46
MIL,ZAD,36
MIL,ZAG,39
MIL,ZTH,156
OPO,AGP,56
OPO,BCN,36
OPO,BIO,36
OPO,BLQ,88
OPO,BOD,39
OPO,BRU,75
OPO,CWB,961
OPO,FNC,47
OPO,GIG,714
OPO,GRU,698
OPO,KEF,207
OPO,LON,65
OPO,LPA,67
OPO,MAD,26
OPO,MIL,37
OPO,MRS,52
OPO,NAP,85
OPO,PAR,47
OPO,PDL,78
OPO,PMO,116
OPO,PRG,122
OPO,ROM,73
OPO,TLS,47
OPO,VLC,41
PTO,CWB,168
SAO,LAX,589
SAO,LIS,559
SAO,NYC,564
SAO,OPO,727
