originAirport,destinationAirport,minPrice
CWB,BCN,781
CWB,BUE,313
CWB,EZE,367
CWB,LAX,663
CWB,LIS,808
CWB,MAD,775
CWB,MIA,559
CWB,NYC,601
CWB,OPO,845
LIS,ARN,141
LIS,ATH,135
LIS,BOS,401
LIS,CWB,896
LIS,GIG,738
LIS,GRU,616
LIS,JFK,168
LIS,KEF,176
LIS,LON,50
LIS,MIL,53
LIS,NAP,114
LIS,PAR,48
LIS,PMO,141
LIS,PRG,150
LIS,ROM,88
LIS,SVQ,31
LIS,VLC,41
MAD,BOS,403
MAD,CWB,794
MAD,NYC,338
MAD,SAO,676
MIL,CAG,51
MIL,CFU,57
MIL,CTA,40
MIL,DUS,40
MIL,HER,82
MIL,LAX,493
MIL,NYC,343
MIL,OSL,98
MIL,PMO,45
MIL,PRG,41
MIL,TGD,91
MIL,TIA,43
MIL,VIE,41
MIL,ZAD,26
MIL,ZAG,45
MIL,ZTH,143
OPO,AGP,46
OPO,BCN,37
OPO,BIO,69
OPO,BLQ,75
OPO,BOD,42
OPO,BRU,81
OPO,CWB,954
OPO,FNC,47
OPO,GIG,850
OPO,GRU,664
OPO,KEF,209
OPO,LON,61
OPO,LPA,90
OPO,MAD,36
OPO,MIL,56
OPO,MRS,48
OPO,NAP,60
OPO,PAR,41
OPO,PDL,63
OPO,PMO,114
OPO,PRG,131
OPO,ROM,73
OPO,TLS,40
OPO,VLC,44
PTO,CWB,162
SAO,LAX,566
SAO,LIS,689
SAO,NYC,503
SAO,OPO,679
