originAirport,destinationAirport,minPrice
CWB,BCN,708
CWB,BUE,321
CWB,EZE,332
CWB,LAX,674
CWB,LIS,713
CWB,MAD,716
CWB,MIA,540
CWB,NYC,518
CWB,OPO,843
LIS,ARN,146
LIS,ATH,143
LIS,BOS,352
LIS,CWB,878
LIS,GIG,618
LIS,GRU,639
LIS,JFK,358
LIS,KEF,183
LIS,LON,43
LIS,MIL,53
LIS,NAP,113
LIS,PAR,51
LIS,PMO,139
LIS,PRG,133
LIS,ROM,87
LIS,SVQ,31
LIS,VLC,53
MAD,BOS,363
MAD,CWB,725
MAD,NYC,305
MAD,SAO,610
MIL,CAG,43
MIL,CFU,68
MIL,CTA,47
MIL,DUS,32
MIL,HER,101
MIL,LAX,494
MIL,NYC,315
MIL,OSL,95
MIL,PMO,36
MIL,PRG,43
MIL,TGD,103
MIL,TIA,59
MIL,VIE,36
MIL,ZAD,43
MIL,ZAG,54
MIL,ZTH,174
OPO,AGP,45
OPO,BCN,46
OPO,BIO,32
OPO,BLQ,91
OPO,BOD,32
OPO,BRU,63
OPO,CWB,920
OPO,FNC,46
OPO,GIG,755
OPO,GRU,693
OPO,KEF,164
OPO,LON,55
OPO,LPA,74
OPO,MAD,32
OPO,MIL,44
OPO,MRS,63
OPO,NAP,107
OPO,PAR,49
OPO,PDL,54
OPO,PMO,144
OPO,PRG,83
OPO,ROM,62
OPO,TLS,43
OPO,VLC,39
PTO,CWB,173
SAO,LAX,523
SAO,LIS,604
SAO,NYC,510
SAO,OPO,669
