originAirport,destinationAirport,minPrice
CWB,BCN,781
CWB,BUE,313
CWB,EZE,367
CWB,LAX,671
CWB,LIS,806
CWB,MAD,775
CWB,MIA,559
CWB,NYC,601
CWB,OPO,845
LIS,ARN,129
LIS,ATH,135
LIS,BOS,413
LIS,CWB,896
LIS,GIG,738
LIS,GRU,614
LIS,JFK,168
LIS,KEF,177
LIS,LON,50
LIS,MIL,57
LIS,NAP,113
LIS,PAR,48
LIS,PMO,141
LIS,PRG,138
LIS,ROM,88
LIS,SVQ,32
LIS,VLC,39
MAD,BOS,402
MAD,CWB,794
MAD,NYC,338
MAD,SAO,676
MIL,CAG,51
MIL,CFU,62
MIL,CTA,40
MIL,DUS,40
MIL,HER,82
MIL,LAX,492
MIL,NYC,343
MIL,OSL,95
MIL,PMO,45
MIL,PRG,42
MIL,TGD,92
MIL,TIA,43
MIL,VIE,41
MIL,ZAD,25
MIL,ZAG,45
MIL,ZTH,143
OPO,AGP,36
OPO,BCN,38
OPO,BIO,69
OPO,BLQ,93
OPO,BOD,42
OPO,BRU,81
OPO,CWB,954
OPO,FNC,47
OPO,GIG,864
OPO,GRU,664
OPO,KEF,209
OPO,LON,65
OPO,LPA,90
OPO,MAD,36
OPO,MIL,44
OPO,MRS,48
OPO,NAP,60
OPO,PAR,41
OPO,PDL,63
OPO,PMO,118
OPO,PRG,140
OPO,ROM,68
OPO,TLS,40
OPO,VLC,44
PTO,CWB,161
SAO,LAX,566
SAO,LIS,675
SAO,NYC,503
SAO,OPO,679
