City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1780,761.14,Turkish Airlines,ICN,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-ICN/2023-03-21/2023-03-28/,761.14,1.0
Paris,França,130,40.21,Ryanair,PAR,2023-09-30,2023-10-04,http://kayak.com/flights/MAD-PAR/2023-09-30/2023-10-04/,40.21,1.0
Nova Iorque,Estados Unidos,3265,372.16,Várias companhias aéreas,NYC,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-NYC/2023-03-21/2023-03-28/,372.16,1.0
Londres,Reino Unido,150,45.82,Ryanair,LON,2023-05-05,2023-05-10,http://kayak.com/flights/MAD-LON/2023-05-05/2023-05-10/,45.82,1.0
Los Angeles,Estados Unidos,1495,577.87,United Airlines,LAX,2023-03-15,2023-03-21,http://kayak.com/flights/MAD-LAX/2023-03-15/2023-03-21/,577.87,1.0
Copenhaga,Dinamarca,200,100.99,Ryanair,CPH,2023-03-22,2023-03-28,http://kayak.com/flights/MAD-CPH/2023-03-22/2023-03-28/,100.99,1.0
Banguecoque,Tailândia,1705,700.36,Etihad Airways,BKK,2023-09-20,2023-09-25,http://kayak.com/flights/MAD-BKK/2023-09-20/2023-09-25/,700.36,1.0
Miami,Estados Unidos,855,397.41,TAP AIR PORTUGAL,MIA,2023-10-20,2023-10-27,http://kayak.com/flights/MAD-MIA/2023-10-20/2023-10-27/,397.41,1.0
Barcelona,Espanha,90,26.19,Várias companhias aéreas,BCN,2023-10-21,2023-10-26,http://kayak.com/flights/MAD-BCN/2023-10-21/2023-10-26/,26.19,1.0
São Francisco,Estados Unidos,775,495.59,Várias companhias aéreas,SFO,2023-10-05,2023-10-12,http://kayak.com/flights/MAD-SFO/2023-10-05/2023-10-12/,495.59,1.0
Boston,Estados Unidos,1075,377.77,Delta,BOS,2023-03-16,2023-03-20,http://kayak.com/flights/MAD-BOS/2023-03-16/2023-03-20/,377.77,1.0
Lisboa,Portugal,85,28.99,easyJet,LIS,2023-03-15,2023-03-22,http://kayak.com/flights/MAD-LIS/2023-03-15/2023-03-22/,28.99,1.0
Frankfurt,Alemanha,555,86.03,Ryanair,FRA,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-FRA/2023-03-21/2023-03-28/,86.03,1.0
Viena,Áustria,185,56.11,Ryanair,VIE,2023-05-31,2023-06-04,http://kayak.com/flights/MAD-VIE/2023-05-31/2023-06-04/,56.11,1.0
Amesterdão,Holanda,680,106.6,Várias companhias aéreas,AMS,2023-04-18,2023-04-24,http://kayak.com/flights/MAD-AMS/2023-04-18/2023-04-24/,106.6,1.0
Las Vegas,Estados Unidos,1160,692.88,Air France,LAS,2023-09-30,2023-10-07,http://kayak.com/flights/MAD-LAS/2023-09-30/2023-10-07/,692.88,1.0
Roma,Itália,155,47.69,Wizz Air,ROM,2023-04-20,2023-04-25,http://kayak.com/flights/MAD-ROM/2023-04-20/2023-04-25/,47.69,1.0
Nova Deli,Índia,1479,718.13,ITA Airways,DEL,2023-10-28,2023-11-04,http://kayak.com/flights/MAD-DEL/2023-10-28/2023-11-04/,718.13,1.0
Newark,Estados Unidos,670,392.73,TAP AIR PORTUGAL,EWR,2023-10-11,2023-10-18,http://kayak.com/flights/MAD-EWR/2023-10-11/2023-10-18/,392.73,1.0
Manila,Filipinas,2305,704.11,Etihad Airways,MNL,2023-05-09,2023-05-16,http://kayak.com/flights/MAD-MNL/2023-05-09/2023-05-16/,704.11,1.0
Munique,Alemanha,165,125.3,Iberia,MUC,2023-05-18,2023-05-23,http://kayak.com/flights/MAD-MUC/2023-05-18/2023-05-23/,125.3,1.0
Atlanta,Estados Unidos,1662,569.46,Várias companhias aéreas,ATL,2023-03-20,2023-03-27,http://kayak.com/flights/MAD-ATL/2023-03-20/2023-03-27/,569.46,1.0
Berlim,Alemanha,885,106.6,Ryanair,BER,2023-04-13,2023-04-17,http://kayak.com/flights/MAD-BER/2023-04-13/2023-04-17/,106.6,1.0
Singapura,Singapura,1880,741.51,Turkish Airlines,SIN,2023-05-14,2023-05-21,http://kayak.com/flights/MAD-SIN/2023-05-14/2023-05-21/,741.51,1.0
Dubai,Emirados Árabes Unidos,1335,393.67,Várias companhias aéreas,DXB,2023-03-27,2023-03-31,http://kayak.com/flights/MAD-DXB/2023-03-27/2023-03-31/,393.67,1.0
Bogotá,Colômbia,630,653.61,Iberia,BOG,2023-06-12,2023-06-19,http://kayak.com/flights/MAD-BOG/2023-06-12/2023-06-19/,653.61,1.0
Seattle,Estados Unidos,1150,1092.16,Finnair,SEA,2023-03-31,2023-04-07,http://kayak.com/flights/MAD-SEA/2023-03-31/2023-04-07/,1092.16,1.0
Denver,Estados Unidos,1295,700.36,Lufthansa,DEN,2023-03-08,2023-03-12,http://kayak.com/flights/MAD-DEN/2023-03-08/2023-03-12/,700.36,1.0
Cancún,México,1200,564.78,Aeromexico,CUN,2023-03-14,2023-03-19,http://kayak.com/flights/MAD-CUN/2023-03-14/2023-03-19/,564.78,1.0
Dallas,Estados Unidos,1324,727.48,Várias companhias aéreas,DFW,2023-04-23,2023-04-29,http://kayak.com/flights/MAD-DFW/2023-04-23/2023-04-29/,727.48,1.0
Atenas,Grécia,950,131.85,Várias companhias aéreas,ATH,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-ATH/2023-03-21/2023-03-28/,131.85,1.0
Zurique,Suíça,140,122.5,Air Europa,ZRH,2023-03-07,2023-03-11,http://kayak.com/flights/MAD-ZRH/2023-03-07/2023-03-11/,122.5,1.0
Milão,Itália,140,44.89,Ryanair,MIL,2023-05-19,2023-05-23,http://kayak.com/flights/MAD-MIL/2023-05-19/2023-05-23/,44.89,1.0
Sydney,Austrália,3210,1611.11,Várias companhias aéreas,SYD,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-SYD/2023-03-21/2023-03-28/,1611.11,1.0
Cidade do México,México,1235,664.83,KLM,MEX,2023-03-07,2023-03-14,http://kayak.com/flights/MAD-MEX/2023-03-07/2023-03-14/,664.83,1.0
Orlando,Estados Unidos,1205,585.35,United Airlines,MCO,2023-10-20,2023-10-27,http://kayak.com/flights/MAD-MCO/2023-10-20/2023-10-27/,585.35,1.0
Chicago,Estados Unidos,1118,471.28,Delta,CHI,2023-03-01,2023-03-08,http://kayak.com/flights/MAD-CHI/2023-03-01/2023-03-08/,471.28,1.0
Telavive,Israel,1635,109.41,Várias companhias aéreas,TLV,2023-03-14,2023-03-21,http://kayak.com/flights/MAD-TLV/2023-03-14/2023-03-21/,109.41,1.0
Fort Lauderdale,Estados Unidos,1177,432.0,KLM,FLL,2023-03-07,2023-03-13,http://kayak.com/flights/MAD-FLL/2023-03-07/2023-03-13/,432.0,1.0
"Washington, D.C.",Estados Unidos,1917,491.85,United Airlines,WAS,2023-03-21,2023-03-26,http://kayak.com/flights/MAD-WAS/2023-03-21/2023-03-26/,491.85,1.0
Phoenix,Estados Unidos,1496,808.83,Várias companhias aéreas,PHX,2023-02-21,2023-02-26,http://kayak.com/flights/MAD-PHX/2023-02-21/2023-02-26/,808.83,1.0
Dublin,Irlanda,160,48.63,Ryanair,DUB,2023-05-23,2023-05-30,http://kayak.com/flights/MAD-DUB/2023-05-23/2023-05-30/,48.63,1.0
Varsóvia,Polónia,1385,81.36,Ryanair,WAW,2023-03-21,2023-03-25,http://kayak.com/flights/MAD-WAW/2023-03-21/2023-03-25/,81.36,1.0
Porto,Portugal,85,44.89,Várias companhias aéreas,OPO,2023-03-18,2023-03-22,http://kayak.com/flights/MAD-OPO/2023-03-18/2023-03-22/,44.89,1.0
Tóquio,Japão,2000,613.4,ITA Airways,TYO,2023-11-20,2023-11-27,http://kayak.com/flights/MAD-TYO/2023-11-20/2023-11-27/,613.4,1.0
Bruxelas,Bélgica,150,53.3,Ryanair,BRU,2023-05-18,2023-05-23,http://kayak.com/flights/MAD-BRU/2023-05-18/2023-05-23/,53.3,1.0
Palma de Maiorca,Espanha,90,23.38,Ryanair,PMI,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-PMI/2023-03-21/2023-03-28/,23.38,1.0
Manchester,Reino Unido,735,77.61,Ryanair,MAN,2023-03-29,2023-04-04,http://kayak.com/flights/MAD-MAN/2023-03-29/2023-04-04/,77.61,1.0
Málaga,Espanha,765,52.37,Ryanair,AGP,2023-03-27,2023-03-31,http://kayak.com/flights/MAD-AGP/2023-03-27/2023-03-31/,52.37,1.0
Oslo,Noruega,230,147.74,Iberia,OSL,2023-10-13,2023-10-20,http://kayak.com/flights/MAD-OSL/2023-10-13/2023-10-20/,147.74,1.0
Denpasar,Indonésia,1455,770.49,Iberia,DPS,2023-11-08,2023-11-15,http://kayak.com/flights/MAD-DPS/2023-11-08/2023-11-15/,770.49,1.0
Filadélfia,Estados Unidos,825,863.07,Várias companhias aéreas,PHL,2023-06-18,2023-06-25,http://kayak.com/flights/MAD-PHL/2023-06-18/2023-06-25/,863.07,1.0
Minneapolis,Estados Unidos,1651,789.2,United Airlines,MSP,2023-03-23,2023-03-28,http://kayak.com/flights/MAD-MSP/2023-03-23/2023-03-28/,789.2,1.0
Dusseldorf,Alemanha,165,127.17,Iberia,DUS,2023-05-27,2023-06-03,http://kayak.com/flights/MAD-DUS/2023-05-27/2023-06-03/,127.17,1.0
Mumbai,Índia,1860,588.16,Egypt Air,BOM,2023-10-04,2023-10-11,http://kayak.com/flights/MAD-BOM/2023-10-04/2023-10-11/,588.16,1.0
Hamburgo,Alemanha,660,110.34,Ryanair,HAM,2023-03-28,2023-04-02,http://kayak.com/flights/MAD-HAM/2023-03-28/2023-04-02/,110.34,1.0
Lyon,França,220,103.8,Várias companhias aéreas,LYS,2023-03-07,2023-03-14,http://kayak.com/flights/MAD-LYS/2023-03-07/2023-03-14/,103.8,1.0
Tampa,Estados Unidos,758,654.55,Várias companhias aéreas,TPA,2023-05-15,2023-05-22,http://kayak.com/flights/MAD-TPA/2023-05-15/2023-05-22/,654.55,1.0
San Juan,Porto Rico,897,629.3,Várias companhias aéreas,SJU,2023-02-27,2023-03-06,http://kayak.com/flights/MAD-SJU/2023-02-27/2023-03-06/,629.3,1.0
Osaka,Japão,2925,1339.01,Várias companhias aéreas,KIX,2023-03-09,2023-03-16,http://kayak.com/flights/MAD-KIX/2023-03-09/2023-03-16/,1339.01,1.0
Helsínquia,Finlândia,605,186.08,Lufthansa,HEL,2023-03-24,2023-03-28,http://kayak.com/flights/MAD-HEL/2023-03-24/2023-03-28/,186.08,1.0
Vancouver,Canadá,3506,733.09,American Airlines,YVR,2023-02-28,2023-03-04,http://kayak.com/flights/MAD-YVR/2023-02-28/2023-03-04/,733.09,1.0
Joanesburgo,África do Sul,1170,662.96,Várias companhias aéreas,JNB,2023-03-09,2023-03-16,http://kayak.com/flights/MAD-JNB/2023-03-09/2023-03-16/,662.96,1.0
Estocolmo,Suécia,865,102.86,Ryanair,STO,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-STO/2023-03-21/2023-03-28/,102.86,1.0
São Paulo,Brasil,2020,538.6,Aeromexico,SAO,2023-03-14,2023-03-21,http://kayak.com/flights/MAD-SAO/2023-03-14/2023-03-21/,538.6,1.0
Lima,Perú,1985,589.09,KLM,LIM,2023-03-20,2023-03-26,http://kayak.com/flights/MAD-LIM/2023-03-20/2023-03-26/,589.09,1.0
Kuala Lumpur,Malásia,2130,2884.67,Várias companhias aéreas,KUL,2023-03-24,2023-03-28,http://kayak.com/flights/MAD-KUL/2023-03-24/2023-03-28/,2884.67,1.0
Cairo,Egito,1295,240.32,Várias companhias aéreas,CAI,2023-10-02,2023-10-09,http://kayak.com/flights/MAD-CAI/2023-10-02/2023-10-09/,240.32,1.0
Hong Kong,Hong Kong,1750,1002.39,Várias companhias aéreas,HKG,2023-09-23,2023-09-28,http://kayak.com/flights/MAD-HKG/2023-09-23/2023-09-28/,1002.39,1.0
